Type d’enregistrement (E,A);Code journal;N° écriture;N° pièce;Date pièce;Libellé;Date échéance;Code nature;Racine compte collectif;Montant en euros;Code débit/crédit (C,D);Compte général;Date (date facture ?);Code lettrage;Date lettrage;Compte auxiliaire;Code nature tiers (C,F,A,Blanc);Code trésorerie;N° relance;date valeur;Référence document;N° de séquence;Code section (axe anal.1);Code affaire (axe anal. 2);Code destination (axe anal. 2);Quantité analytique;Montant en devises;Code devise ISO;Taux de la devise;Mode de paiement;Bon à payer;Code banque affectation;Echéance escomptable;Zone texte libre;Ecriture modifiable (L,I,blanc);Date création;Heure création
TYPE;JNAL;NECR;NPIE;DATP;LIBE;DATH;CNPI;RACI;MONT;CODC;CPTG;DATE;CLET;DATL;CPTA;CNAT;CTRE;NORL;DATV;REFD;NECA;CSEC;CAFF;CDES;QTUE;MTDV;CODV;TXDV;MOPM;BONP;BQAF;ECES;TXTL;ECRM;DATK;HEUK
